disorder	class	gene
Ataxia-ocular apraxia-2	Neurological	SETX
Ataxia-ocular apraxia-2	Neurological	SCAR1
Ataxia-ocular apraxia-2	Neurological	AOA2
Ataxia-telangiectasia	Immunological	ATM
Ataxia-telangiectasia	Immunological	ATA
Ataxia-telangiectasia	Immunological	AT1
Ataxia-telangiectasia-like disorder	Immunological	MRE11A
Ataxia-telangiectasia-like disorder	Immunological	MRE11
Ataxia-telangiectasia-like disorder	Immunological	ATLD
Ataxia with isolated vitamin E deficiency	Neurological	TTPA
Ataxia with isolated vitamin E deficiency	Neurological	TTP1
Ataxia with isolated vitamin E deficiency	Neurological	AVED
Atelosteogenesis II	Connective tissue	SLC26A2
Atelosteogenesis II	Connective tissue	DTD
Atelosteogenesis II	Connective tissue	DTDST
Atelosteogenesis II	Connective tissue	D5S1708
Atelosteogenesis II	Connective tissue	EDM4
Atelostogenesis, type I	Connective tissue	FLNB
Atelostogenesis, type I	Connective tissue	SCT
Atelostogenesis, type I	Connective tissue	AOI
Athabaskan brainstem dysgenesis syndrome	Neurological	HOXA1
Athabaskan brainstem dysgenesis syndrome	Neurological	HOX1F
Athabaskan brainstem dysgenesis syndrome	Neurological	BSAS
Atherosclerosis, susceptibility to	Cardiovascular	ALOX5
Atopy	Immunological	SPINK5
Atopy	Immunological	LEKTI
Atopy, resistance to	Immunological	HAVCR1
Atopy, resistance to	Immunological	HAVCR
Atopy, susceptibility to	Immunological	PLA2G7
Atopy, susceptibility to	Immunological	PAFAH
Atopy, susceptibility to	Immunological	SELP
Atopy, susceptibility to	Immunological	GRMP
Atopy, susceptibility to	Immunological	IL4R
Atopy, susceptibility to	Immunological	IL4RA
Atransferrinemia	Hematological	TF
Atrial fibrillation, familial	Cardiovascular	KCNE2
Atrial fibrillation, familial	Cardiovascular	MIRP1
Atrial fibrillation, familial	Cardiovascular	LQT6
Atrial fibrillation, familial	Cardiovascular	KCNQ1
Atrial fibrillation, familial	Cardiovascular	KCNA9
Atrial fibrillation, familial	Cardiovascular	LQT1
Atrial fibrillation, familial	Cardiovascular	KVLQT1
Atrial fibrillation, familial	Cardiovascular	ATFB1
Atrial septal defect-2	Cardiovascular	GATA4
Atrial septal defect 3	Cardiovascular	MYH6
Atrial septal defect 3	Cardiovascular	ASD3
Atrial septal defect 3	Cardiovascular	MYHCA
Atrial septal defect with atrioventricular conduction defects	Cardiovascular	NKX2E
Atrial septal defect with atrioventricular conduction defects	Cardiovascular	CSX
Atrichia with papular lesions	Dermatological	HR
Atrichia with papular lesions	Dermatological	AU
Atrioventricular block, idiopathic second-degree	Cardiovascular	NKX2E
Atrioventricular block, idiopathic second-degree	Cardiovascular	CSX
Atrioventricular septal defect	Cardiovascular	GJA1
Atrioventricular septal defect	Cardiovascular	CX43
Atrioventricular septal defect	Cardiovascular	ODDD
Atrioventricular septal defect	Cardiovascular	SDTY3
Atrioventricular septal defect	Cardiovascular	ODOD
Atrioventricular septal defect, partial, with heterotaxy syndrome	Cardiovascular	CRELD1
Atrioventricular septal defect, partial, with heterotaxy syndrome	Cardiovascular	AVSD2
Atrioventricular septal defect, susceptibility to, 2	Cardiovascular	CRELD1
Atrioventricular septal defect, susceptibility to, 2	Cardiovascular	AVSD2
Attention deficit-hyperactivity disorder, susceptibility to	Psychiatric	DRD5
Attention deficit-hyperactivity disorder, susceptibility to	Psychiatric	DRD1B
Attention deficit-hyperactivity disorder, susceptibility to	Psychiatric	DRD1L2
Autism, susceptibility to	Psychiatric	GLO1
Autism, X-linked	Psychiatric	MECP2
Autism, X-linked	Psychiatric	RTT
Autism, X-linked	Psychiatric	PPMX
Autism, X-linked	Psychiatric	MRX16
Autism, X-linked	Psychiatric	MRX79
Autism, X-linked	Psychiatric	NLGN3
Autism, X-linked	Psychiatric	NLGN4
Autism, X-linked	Psychiatric	KIAA1260
Autism, X-linked	Psychiatric	AUTSX2
Autoimmune lymphoproliferative syndrome	Immunological	TNFRSF6
Autoimmune lymphoproliferative syndrome	Immunological	APT1
Autoimmune lymphoproliferative syndrome	Immunological	FAS
Autoimmune lymphoproliferative syndrome	Immunological	CD95
Autoimmune lymphoproliferative syndrome	Immunological	ALPS1A
Autoimmune lymphoproliferative syndrome, type IA	Immunological	TNFRSF6
Autoimmune lymphoproliferative syndrome, type IA	Immunological	APT1
Autoimmune lymphoproliferative syndrome, type IA	Immunological	FAS
Autoimmune lymphoproliferative syndrome, type IA	Immunological	CD95
Autoimmune lymphoproliferative syndrome, type IA	Immunological	ALPS1A
Autoimmune lymphoproliferative syndrome, type II	Immunological	CASP10
Autoimmune lymphoproliferative syndrome, type II	Immunological	MCH4
Autoimmune lymphoproliferative syndrome, type II	Immunological	ALPS2
Autoimmune lymphoproliferative syndrome, type IIB	Immunological	CASP8
Autoimmune lymphoproliferative syndrome, type IIB	Immunological	MCH5
Autoimmune polyglandular disease, type I	Immunological	AIRE
Autoimmune polyglandular disease, type I	Immunological	APECED
Autoimmune thyroid disease, susceptibility to 3	Endocrine	TG
Autoimmune thyroid disease, susceptibility to 3	Endocrine	AITD3
Autonomic nervous system dysfunction	Psychiatric	DRD4
Axenfeld anomaly	Ophthamological	FOXC1
Axenfeld anomaly	Ophthamological	FKHL7
Axenfeld anomaly	Ophthamological	FREAC3
Azoospermia	Endocrine	USP9Y
Azoospermia	Endocrine	DFFRY
Azoospermia due to perturbations of meiosis	Endocrine	SYCP3
Azoospermia due to perturbations of meiosis	Endocrine	SCP3
Azoospermia due to perturbations of meiosis	Endocrine	COR1
Bamforth-Lazarus syndrome	Endocrine	FOXE1
Bamforth-Lazarus syndrome	Endocrine	FKHL15
Bamforth-Lazarus syndrome	Endocrine	TITF2
Bamforth-Lazarus syndrome	Endocrine	TTF2
Bannayan-Riley-Ruvalcaba syndrome	Unclassified	PTEN
Bannayan-Riley-Ruvalcaba syndrome	Unclassified	MMAC1
Bannayan-Zonana syndrome	Unclassified	PTEN
Bannayan-Zonana syndrome	Unclassified	MMAC1
Bardet-Biedl syndrome 1	multiple	BBS1
Bardet-Biedl syndrome 1, modifier of	multiple	ARL6
Bardet-Biedl syndrome 1, modifier of	multiple	BBS3
Bardet-Biedl syndrome	multiple	BBS7
Bardet-Biedl syndrome 2	multiple	BBS2
Bardet-Biedl syndrome 3	multiple	ARL6
Bardet-Biedl syndrome 3	multiple	BBS3
Bardet-Biedl syndrome 4	multiple	BBS4
Bardet-Biedl syndrome 5	multiple	BBS5
Bardet-Biedl syndrome 6	multiple	MKKS
Bardet-Biedl syndrome 6	multiple	HMCS
Bardet-Biedl syndrome 6	multiple	KMS
Bardet-Biedl syndrome 6	multiple	MKS
Bardet-Biedl syndrome 6	multiple	BBS6
Bardet-Biedl syndrome 8	multiple	TTC8
Bardet-Biedl syndrome 8	multiple	BBS8
Bare lymphocyte syndrome, type I	Immunological	TAPBP
Bare lymphocyte syndrome, type I	Immunological	TPSN
Bare lymphocyte syndrome, type I, due to TAP2 deficiency	Immunological	TAP2
Bare lymphocyte syndrome, type I, due to TAP2 deficiency	Immunological	ABCB3
Bare lymphocyte syndrome, type I, due to TAP2 deficiency	Immunological	PSF2
Bare lymphocyte syndrome, type I, due to TAP2 deficiency	Immunological	RING11
Bare lymphocyte syndrome, type II, complementation group A	Immunological	MHC2TA
Bare lymphocyte syndrome, type II, complementation group A	Immunological	C2TA
Bare lymphocyte syndrome, type II, complementation group C	Immunological	RFX5
Bare lymphocyte syndrome, type II, complementation group D	Immunological	RFXAP
Bare lymphocyte syndrome, type II, complementation group E	Immunological	RFX5
Barth syndrome	multiple	TAZ
Barth syndrome	multiple	EFE2
Barth syndrome	multiple	BTHS
Barth syndrome	multiple	CMD3A
Barth syndrome	multiple	LVNCX
Bart-Pumphrey syndrome	multiple	GJB2
Bart-Pumphrey syndrome	multiple	CX26
Bart-Pumphrey syndrome	multiple	DFNB1
Bart-Pumphrey syndrome	multiple	PPK
Bart-Pumphrey syndrome	multiple	DFNA3
Bart-Pumphrey syndrome	multiple	KID
Bart-Pumphrey syndrome	multiple	HID
Bartter syndrome, type 1	multiple	SLC12A1
Bartter syndrome, type 1	multiple	NKCC2
Bartter syndrome, type 2	multiple	KCNJ1
Bartter syndrome, type 2	multiple	ROMK1
Bartter syndrome, type 3	multiple	CLCNKB
Bartter syndrome, type 4	multiple	BSND
Bartter syndrome, type 4, digenic	multiple	CLCNKA
Bartter syndrome, type 4, digenic	multiple	CLCNKB
Basal cell carcinoma	Cancer	RASA1
Basal cell carcinoma	Cancer	GAP
Basal cell carcinoma	Cancer	CMAVM
Basal cell carcinoma	Cancer	PKWS
Basal cell carcinoma, somatic	Cancer	PTCH2
Basal cell carcinoma, somatic	Cancer	PTCH
Basal cell carcinoma, somatic	Cancer	NBCCS
Basal cell carcinoma, somatic	Cancer	BCNS
Basal cell carcinoma, somatic	Cancer	HPE7
Basal cell carcinoma, sporadic	Cancer	SMOH
Basal cell carcinoma, sporadic	Cancer	SMO
Basal cell nevus syndrome	multiple	PTCH
Basal cell nevus syndrome	multiple	NBCCS
Basal cell nevus syndrome	multiple	BCNS
Basal cell nevus syndrome	multiple	HPE7
Basal ganglia disease, adult-onset	Neurological	FTL
Basal ganglia disease, biotin-responsive	Neurological	SLC19A3
B-cell non-Hodgkin lymphoma, high-grade	Cancer	BCL7A
B-cell non-Hodgkin lymphoma, high-grade	Cancer	BCL7
BCG infection, generalized familial	Immunological	IFNGR1
Beare-Stevenson cutis gyrata syndrome	multiple	FGFR2
Beare-Stevenson cutis gyrata syndrome	multiple	BEK
Beare-Stevenson cutis gyrata syndrome	multiple	CFD1
Beare-Stevenson cutis gyrata syndrome	multiple	JWS
Becker muscular dystrophy	Muscular	DMD
Becker muscular dystrophy	Muscular	BMD
Becker muscular dystrophy modifier	Muscular	MYF6
Beckwith-Wiedemann syndrome	multiple	CDKN1C
Beckwith-Wiedemann syndrome	multiple	KIP2
Beckwith-Wiedemann syndrome	multiple	BWS
Beckwith-Wiedemann syndrome	multiple	H19
Beckwith-Wiedemann syndrome	multiple	D11S813E
Beckwith-Wiedemann syndrome	multiple	ASM1
Beckwith-Wiedemann syndrome	multiple	BWS
Beckwith-Wiedemann syndrome	multiple	KCNQ10T1
Beckwith-Wiedemann syndrome	multiple	LIT1
Beckwith-Wiedemann syndrome	multiple	NSD1
Beckwith-Wiedemann syndrome	multiple	ARA267
Beckwith-Wiedemann syndrome	multiple	STO
Benzene toxicity, susceptibility to	Unclassified	NQO1
Benzene toxicity, susceptibility to	Unclassified	DIA4
Benzene toxicity, susceptibility to	Unclassified	NMOR1
Bernard-Soulier syndrome	Hematological	GP1BA
Bernard-Soulier syndrome, type B	Hematological	GP1BB
Bernard-Soulier syndrome, type C	Hematological	GP9
Beryllium disease, chronic, susceptibility to	Unclassified	HLA-DPB1
Beta-2-adrenoreceptor agonist, reduced response to	Unclassified	ADRB2
Beta-ureidopropionase deficiency	Metabolic	UPB1
Beta-ureidopropionase deficiency	Metabolic	BUP1
Bethlem myopathy	Muscular	COL6A1
Bethlem myopathy	Muscular	OPLL
Bethlem myopathy	Muscular	COL6A2
Bethlem myopathy	Muscular	COL6A3
Bietti crystalline corneoretinal dystrophy	Ophthamological	CYP4V2
Bietti crystalline corneoretinal dystrophy	Ophthamological	BCD
Bile acid malabsorption, primary	Gastrointestinal	SLC10A2
Bile acid malabsorption, primary	Gastrointestinal	NTCP2
Biotinidase deficiency	Metabolic	BTD
Bipolar disorder, susceptibility to	Psychiatric	XBP1
Bipolar disorder, susceptibility to	Psychiatric	XBP2
Birt-Hogg-Dube syndrome	Dermatological	FLCN
Birt-Hogg-Dube syndrome	Dermatological	BHD
Bladder cancer	Cancer	FGFR3
Bladder cancer	Cancer	ACH
Bladder cancer	Cancer	KRAS2
Bladder cancer	Cancer	RASK2
Bladder cancer	Cancer	RB1
Bladder cancer, somatic	Cancer	HRAS
Blau syndrome	multiple	CARD15
Blau syndrome	multiple	NOD2
Blau syndrome	multiple	IBD1
Blau syndrome	multiple	CD
Blau syndrome	multiple	ACUG
Blau syndrome	multiple	PSORAS1
Bleeding disorder due to defective thromboxane A2 receptor	Hematological	TBXA2R
Bleeding due to platelet ADP receptor defect	Hematological	P2RX1
Bleeding due to platelet ADP receptor defect	Hematological	P2X1
Blepharophimosis, epicanthus inversus, and ptosis, type 1	multiple	FOXL2
Blepharophimosis, epicanthus inversus, and ptosis, type 1	multiple	BPES
Blepharophimosis, epicanthus inversus, and ptosis, type 1	multiple	BPES1
Blepharophimosis, epicanthus inversus, and ptosis, type 1	multiple	PFRK
Blepharophimosis, epicanthus inversus, and ptosis, type 1	multiple	POF3
Blepharophimosis, epicanthus inversus, and ptosis, type 2	multiple	FOXL2
Blepharophimosis, epicanthus inversus, and ptosis, type 2	multiple	BPES
Blepharophimosis, epicanthus inversus, and ptosis, type 2	multiple	BPES1
Blepharophimosis, epicanthus inversus, and ptosis, type 2	multiple	PFRK
Blepharophimosis, epicanthus inversus, and ptosis, type 2	multiple	POF3
Blepharospasm, primary benign	Ophthamological	DRD5
Blepharospasm, primary benign	Ophthamological	DRD1B
Blepharospasm, primary benign	Ophthamological	DRD1L2
Blood group, ABO system	Hematological	ABO
Blood group, Auberger system	Hematological	LU
Blood group, Auberger system	Hematological	AU
Blood group, Auberger system	Hematological	BCAM
Blood group, Colton	Hematological	AQP1
Blood group, Colton	Hematological	CHIP28
Blood group, Colton	Hematological	CO
Blood group Cromer	Hematological	DAF
Blood group, Diego	Hematological	SLC4A1
Blood group, Diego	Hematological	AE1
Blood group, Diego	Hematological	EPB3
Blood group, Dombrock	Hematological	ART4
Blood group, Dombrock	Hematological	DO
Blood group, Gerbich	Hematological	GYPC
Blood group, Gerbich	Hematological	GE
Blood group, Gerbich	Hematological	GPC
Blood group GIL	Hematological	AQP3
Blood group, Ii	Hematological	GCNT2
Blood group, Indian system	Hematological	CD44
Blood group, Indian system	Hematological	MDU2
Blood group, Indian system	Hematological	MDU3
Blood group, Indian system	Hematological	MIC4
Blood group, Kell	Hematological	KEL
Blood group, Kidd	Hematological	SLC14A1
Blood group, Kidd	Hematological	JK
Blood group, Kidd	Hematological	UTE
Blood group, Kidd	Hematological	UT1
Blood group, Knops system	Hematological	CR1
Blood group, Knops system	Hematological	C3BR
Blood group, Landsteiner-Wiener	Hematological	LW
Blood group, Lewis	Hematological	FUT3
Blood group, Lewis	Hematological	LE
Blood group, Lutheran system	Hematological	LU
Blood group, Lutheran system	Hematological	AU
Blood group, Lutheran system	Hematological	BCAM
Blood group, MN	Hematological	GYPA
Blood group, MN	Hematological	MN
Blood group, MN	Hematological	GPA
Blood group, OK	Hematological	BSG
Blood group, P system	Hematological	A4GALT
Blood group, P system	Hematological	PK
Blood group, P system	Hematological	B3GALT3
Blood group, P system	Hematological	GLCT3
Blood group, P system	Hematological	P
Blood group, Rhesus	Hematological	RHCE
Blood group, Ss	Hematological	GYPB
Blood group, Ss	Hematological	SS
Blood group, Ss	Hematological	MNS
Blood group, Waldner	Hematological	SLC4A1
Blood group, Waldner	Hematological	AE1
Blood group, Waldner	Hematological	EPB3
Blood group, Wright	Hematological	SLC4A1
Blood group, Wright	Hematological	AE1
Blood group, Wright	Hematological	EPB3
Blood group, XG system	Hematological	XG
Blood group, Yt system	Hematological	ACHE
Blood group, Yt system	Hematological	YT
Bloom syndrome	Cancer	RECQL3
Bloom syndrome	Cancer	RECQ2
Bloom syndrome	Cancer	BLM
Bloom syndrome	Cancer	BS
Blue-cone monochromacy	Ophthamological	OPN1LW
Blue-cone monochromacy	Ophthamological	RCP
Blue-cone monochromacy	Ophthamological	CBP
Blue-cone monochromacy	Ophthamological	CBBM
Blue-cone monochromacy	Ophthamological	OPN1MW
Blue-cone monochromacy	Ophthamological	GCP
Blue-cone monochromacy	Ophthamological	CBD
Blue-cone monochromacy	Ophthamological	CBBM
Bombay phenotype	Hematological	FUT1
Bombay phenotype	Hematological	H
Bombay phenotype	Hematological	HH
Bombay phenotype	Hematological	FUT2
Bombay phenotype	Hematological	SE
Bone mineral density variability 1	Bone	LRP5
Bone mineral density variability 1	Bone	BMND1
Bone mineral density variability 1	Bone	LRP7
Bone mineral density variability 1	Bone	LR3
Bone mineral density variability 1	Bone	OPPG
Bone mineral density variability 1	Bone	VBCH2
Borjeson-Forssman-Lehmann syndrome	multiple	PHF6
Borjeson-Forssman-Lehmann syndrome	multiple	BFLS
Bosley-Salih-Alorainy syndrome	Neurological	HOXA1
Bosley-Salih-Alorainy syndrome	Neurological	HOX1F
Bosley-Salih-Alorainy syndrome	Neurological	BSAS
Bothnia retinal dystrophy	Ophthamological	RLBP1
Brachydactyly, type A1	Skeletal	IHH
Brachydactyly, type A1	Skeletal	BDA1
Brachydactyly, type A2	Skeletal	BMPR1B
Brachydactyly, type A2	Skeletal	ALK6
Brachydactyly, type B1	Skeletal	ROR2
Brachydactyly, type B1	Skeletal	BDB1
Brachydactyly, type B1	Skeletal	BDB
Brachydactyly, type B1	Skeletal	NTRKR2
Brachydactyly, type C	Skeletal	GDF5
Brachydactyly, type C	Skeletal	CDMP1
Brachydactyly, type D	Skeletal	HOXD13
Brachydactyly, type D	Skeletal	HOX4I
Brachydactyly, type D	Skeletal	SPD
Brachydactyly, type E	Skeletal	HOXD13
Brachydactyly, type E	Skeletal	HOX4I
Brachydactyly, type E	Skeletal	SPD
Bradyopsia	Ophthamological	R9AP
Bradyopsia	Ophthamological	RGS9
Bradyopsia	Ophthamological	PERRS
Bradyopsia	Ophthamological	RGS9
Bradyopsia	Ophthamological	PERRS
Branchiootic syndrome	Neurological	EYA1
Branchiootic syndrome	Neurological	BOR
Branchiootorenal syndrome	Neurological	EYA1
Branchiootorenal syndrome	Neurological	BOR
Branchiootorenal syndrome with cataract	Neurological	EYA1
Branchiootorenal syndrome with cataract	Neurological	BOR
Breast and colorectal cancer, susceptibility to	Cancer	CHEK2
Breast and colorectal cancer, susceptibility to	Cancer	RAD53
Breast and colorectal cancer, susceptibility to	Cancer	CHK2
Breast and colorectal cancer, susceptibility to	Cancer	CDS1
Breast and colorectal cancer, susceptibility to	Cancer	LFS2
Breast cancer	Cancer	PIK3CA
Breast cancer	Cancer	PPM1D
Breast cancer	Cancer	WIP1
Breast cancer	Cancer	SLC22A1L
Breast cancer	Cancer	BWSCR1A
Breast cancer	Cancer	IMPT1
Breast cancer	Cancer	TP53
Breast cancer	Cancer	P53
Breast cancer	Cancer	LFS1
Breast cancer-1	Cancer	BRCA1
Breast cancer-1	Cancer	PSCP
Breast cancer 2, early onset	Cancer	BRCA2
Breast cancer 2, early onset	Cancer	FANCD1
Breast cancer	Cancer	TSG101
Breast cancer, early-onset	Cancer	BRIP1
Breast cancer, early-onset	Cancer	BACH1
Breast cancer, early-onset	Cancer	FANCJ
Breast cancer, invasive intraductal	Cancer	RAD54L
Breast cancer, invasive intraductal	Cancer	HR54
Breast cancer, invasive intraductal	Cancer	HRAD54
Breast cancer, lobular	Cancer	CDH1
Breast cancer, lobular	Cancer	UVO
Breast cancer, male, susceptibility to	Cancer	BRCA2
Breast cancer, male, susceptibility to	Cancer	FANCD1
Breast cancer, male, with Reifenstein syndrome	Cancer	AR
